"dataset","loci_name","alphabet","n_taxa","n_bp","pass_phi","pass_maxchi","pass_geneconv_inner","pass_geneconv_outer","pass_geneconv"
"Vanderpool2020","ORTHOMCL12620","dna",29,742,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12621","dna",29,942,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12622","dna",29,1626,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12623","dna",28,1074,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12624","dna",29,906,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12625","dna",29,1771,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12627","dna",29,759,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12630","dna",29,1240,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12631","dna",29,600,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12632","dna",29,504,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12634","dna",29,669,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12636","dna",29,1428,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12637","dna",29,1838,TRUE,FALSE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12638","dna",29,6527,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12641","dna",29,1724,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12642","dna",29,735,FALSE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12643","dna",28,738,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12644","dna",29,1129,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12645","dna",28,1104,FALSE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12646","dna",28,1113,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12650","dna",29,522,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12651","dna",28,1864,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12652","dna",21,768,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12653","dna",29,810,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12654","dna",29,426,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12657","dna",29,1127,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12658","dna",29,1191,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12659","dna",29,801,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12660","dna",28,1173,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12662","dna",29,1230,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12663","dna",26,573,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12665","dna",28,592,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12666","dna",29,1068,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12668","dna",29,246,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12669","dna",29,654,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12670","dna",27,1791,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12671","dna",29,1035,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12674","dna",29,927,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12675","dna",29,1876,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12677","dna",29,894,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12678","dna",29,1185,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12679","dna",29,786,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12681","dna",29,1311,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12683","dna",29,2532,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12684","dna",29,1893,TRUE,TRUE,NA,NA,NA
"Vanderpool2020","ORTHOMCL12685","dna",29,636,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12687","dna",29,4080,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12688","dna",18,951,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12689","dna",24,918,TRUE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12691","dna",29,807,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12692","dna",29,1005,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12693","dna",28,1083,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12695","dna",29,660,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12696","dna",29,816,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12697","dna",29,324,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12698","dna",28,753,FALSE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12700","dna",29,1038,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12703","dna",29,6676,TRUE,FALSE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12704","dna",29,2016,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12705","dna",29,1299,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12706","dna",29,561,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12707","dna",29,555,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12708","dna",29,696,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12709","dna",28,1632,FALSE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12710","dna",29,1760,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12712","dna",29,639,FALSE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12713","dna",29,351,TRUE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12715","dna",28,3564,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12716","dna",29,984,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12717","dna",29,2792,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12718","dna",29,465,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12720","dna",29,969,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12722","dna",29,1107,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12723","dna",29,219,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12724","dna",29,1176,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12725","dna",29,1029,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12726","dna",29,1635,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12727","dna",27,720,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12728","dna",29,353,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12729","dna",29,273,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12730","dna",29,637,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12731","dna",29,921,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12732","dna",26,426,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12733","dna",28,1332,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12734","dna",29,795,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12735","dna",29,1992,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12736","dna",29,2007,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12737","dna",29,1275,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12738","dna",29,3038,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12739","dna",29,783,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12741","dna",28,2064,TRUE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12742","dna",29,1920,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12743","dna",29,1554,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12744","dna",29,1044,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12745","dna",27,2258,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12746","dna",28,969,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12747","dna",29,1299,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12749","dna",28,1641,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12750","dna",29,663,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12752","dna",29,789,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12753","dna",29,384,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12754","dna",29,461,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12755","dna",29,566,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12756","dna",19,3195,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12757","dna",29,996,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12758","dna",29,3735,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12761","dna",29,1051,TRUE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12762","dna",29,486,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12763","dna",28,3177,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12764","dna",29,360,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12766","dna",29,1602,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12768","dna",29,1251,TRUE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12769","dna",29,525,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12770","dna",29,471,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12772","dna",29,969,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12775","dna",29,342,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12776","dna",29,783,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12778","dna",29,1677,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12780","dna",29,616,TRUE,FALSE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12782","dna",28,633,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12783","dna",22,451,TRUE,TRUE,NA,NA,NA
"Vanderpool2020","ORTHOMCL12784","dna",28,590,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12785","dna",29,1607,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12786","dna",29,1389,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12789","dna",29,480,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12790","dna",29,1752,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12792","dna",29,453,FALSE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12794","dna",27,651,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12795","dna",29,606,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12796","dna",28,474,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12797","dna",28,4388,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12798","dna",29,1053,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12800","dna",29,807,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12801","dna",29,882,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12802","dna",29,933,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12803","dna",29,411,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12806","dna",27,1161,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12808","dna",28,1449,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12809","dna",29,1557,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12810","dna",29,912,TRUE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12812","dna",29,785,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12813","dna",29,756,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12814","dna",29,483,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12815","dna",29,867,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12817","dna",29,744,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12818","dna",29,957,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12819","dna",29,2402,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12820","dna",29,1383,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12821","dna",29,633,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12822","dna",29,699,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12823","dna",29,1260,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12824","dna",29,468,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12825","dna",29,738,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12827","dna",29,1496,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12829","dna",29,2514,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12830","dna",29,1605,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12831","dna",27,1752,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12832","dna",28,1431,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12838","dna",29,843,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12842","dna",29,456,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12843","dna",29,786,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12844","dna",29,816,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12845","dna",23,315,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12846","dna",28,810,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12847","dna",29,1098,TRUE,FALSE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12848","dna",29,1098,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12849","dna",29,1050,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12850","dna",29,1140,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12851","dna",28,3441,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12852","dna",28,1104,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12853","dna",29,1140,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12854","dna",29,1338,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12855","dna",29,690,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12856","dna",29,4468,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12858","dna",28,4052,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12859","dna",29,1218,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12860","dna",29,1047,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12861","dna",29,1938,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12862","dna",19,581,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12863","dna",29,918,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12866","dna",29,564,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12867","dna",29,1014,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12868","dna",28,936,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12870","dna",29,645,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12871","dna",29,498,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12872","dna",29,348,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12873","dna",29,1127,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12875","dna",28,1122,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12877","dna",28,696,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12878","dna",29,318,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12879","dna",28,1311,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12881","dna",28,1209,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12882","dna",29,636,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12883","dna",29,339,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12884","dna",29,846,FALSE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12885","dna",25,2892,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12886","dna",29,933,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12889","dna",29,837,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12891","dna",29,1662,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12893","dna",29,684,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12894","dna",28,1050,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12895","dna",29,1645,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12897","dna",28,1359,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12899","dna",29,474,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12900","dna",29,1342,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12901","dna",29,1164,TRUE,FALSE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12902","dna",27,969,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12903","dna",29,1881,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12904","dna",29,632,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12905","dna",29,2202,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12906","dna",29,1329,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12907","dna",29,801,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12908","dna",28,825,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12909","dna",29,819,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12911","dna",29,1389,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12912","dna",28,822,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12913","dna",29,1419,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12914","dna",29,1599,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12917","dna",28,1287,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12919","dna",24,961,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12920","dna",29,639,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12921","dna",29,423,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12923","dna",29,1056,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12924","dna",29,1284,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12927","dna",29,960,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12929","dna",29,2289,TRUE,FALSE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12930","dna",28,713,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12931","dna",29,216,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12932","dna",29,1617,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12933","dna",29,621,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12934","dna",29,1476,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12938","dna",29,1635,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12939","dna",29,2334,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12940","dna",29,2235,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12941","dna",29,1533,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12943","dna",28,2188,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12946","dna",29,384,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12947","dna",29,765,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12950","dna",29,336,FALSE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12951","dna",29,927,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12952","dna",29,765,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12953","dna",29,933,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12954","dna",29,1272,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12955","dna",29,855,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12956","dna",29,957,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12958","dna",29,813,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12959","dna",29,696,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12960","dna",28,948,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12962","dna",29,1983,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12963","dna",29,351,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12964","dna",29,1924,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12965","dna",29,1077,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12966","dna",29,1095,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12967","dna",29,543,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12969","dna",29,587,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL12972","dna",28,1227,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12973","dna",29,728,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL12977","dna",29,891,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12978","dna",29,456,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL12980","dna",29,654,TRUE,TRUE,TRUE,TRUE,TRUE
